"The email address you entered is invalid.","The email address you entered is invalid."
"Your account is locked due to too many failed login attempts.","Your account is locked due to too many failed login attempts."
"Login failed.","Login failed."
"Your email address and your password can not be equal.","Your email address and your password can not be equal."
"Active","Active"
"Lock after x attempts","Lock after x attempts"
"Lock account after x failed login attempts","Lock account after x failed login attempts"
"Lock attempt span","Lock attempt span"
"Time period in seconds in which these attempts have to be","Time period in seconds in which these attempts have to be"
"Lock time","Lock time"
"Lock the account for x seconds","Lock the account for x seconds"
"Invalid login or password.","Invalid login or password."
"Your password lenght must be greater than 8.","Your password lenght must be greater than 8."
"Your password must contain at leas one uppercase character, one lowercase character and one digit.","Your password must contain at leas one uppercase character, one lowercase character and one digit."